;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
125;25,15;59,68;22,55;119,351;48,162;;;71,361;71,361;11,681000000000004;-6;6
126;25,35;59,67;22,55;119,347;48,207;;;71,41;71,41;11,739999999999995;-6;6
127;25,55;59,66;22,55;119,333;48,423;;;71,64;71,64;11,980000000000004;-6;6
128;25,75;59,65;22,55;119,336;48,635;;;71,84899999999999;71,84899999999999;12,198999999999991;-6;6
129;25,95;59,63;22,55;119,327;48,772;;;71,99499999999999;71,99499999999999;12,364999999999988;-6;6
130;26,15;59,62;22,55;119,318;48,868;;;72,1;72,1;12,479999999999997;-6;6
131;26,35;59,62;22,55;119,307;48,948;;;72,191;72,191;12,571000000000005;-6;6
132;26,55;59,61;22,55;119,297;49,036;;;72,289;72,289;12,679000000000002;-6;6
133;26,75;59,6;22,55;119,27;49,171;;;72,451;72,451;12,850999999999992;-6;6
134;26,95;59,59;22,55;119,262;49,213;;;72,50099999999999;72,50099999999999;12,910999999999987;-6;6
135;27,15;59,58;22,55;119,25;49,187;;;72,48700000000001;72,48700000000001;12,90700000000001;-6;6
136;27,35;59,58;22,55;119,24;49,242;;;72,55199999999999;72,55199999999999;12,971999999999994;-6;6
137;27,55;59,57;22,55;119,239;49,165;;;72,47599999999998;72,47599999999998;12,905999999999985;-6;6
138;27,75;59,56;22,55;119,233;49,118;;;72,43499999999999;72,43499999999999;12,874999999999986;-6;6
139;27,95;59,56;22,55;119,23;49,218;;;72,53800000000001;72,53800000000001;12,978000000000009;-6;6
140;28,15;59,56;22,55;119,231;49,315;;;72,634;72,634;13,073999999999998;-6;6
141;28,35;59,55;22,55;119,226;49,205;;;72,52899999999998;72,52899999999998;12,978999999999985;-6;6
142;28,55;59,55;22,55;119,23;49,527;;;72,84699999999998;72,84699999999998;13,296999999999983;-6;6
143;28,75;59,55;22,55;119,229;49,699;;;73,02000000000001;73,02000000000001;13,470000000000013;-6;6
144;28,95;59,55;22,55;119,229;49,621;;;72,94200000000001;72,94200000000001;13,39200000000001;-6;6
145;29,15;59,55;22,55;119,22;49,979;;;73,30899999999998;73,30899999999998;13,758999999999986;-6;6
146;29,35;59,55;22,55;119,226;50,217;;;73,54099999999998;73,54099999999998;13,990999999999985;-6;6
147;29,55;59,55;22,55;119,219;50,288;;;73,61900000000001;73,61900000000001;14,069000000000017;-6;6
