;F, MHz;Eeq_max_ref, dBuV/m;AF;M0;MA_vert;MA_hor;Eeq_hor;Eeq_vert;Eeq max;delta;-6 dB;6 dB
300;180,0;86,26;10,88;116,913;69,774;64,74;78,70700000000001;83,741;83,741;-2,5190000000000055;-6;6
301;181,0;86,44;11,32;116,896;69,528;64,214;78,638;83,95200000000003;83,95200000000003;-2,487999999999971;-6;6
302;182,0;86,62;11,32;116,897;69,472;63,73;78,15299999999999;83,89499999999998;83,89499999999998;-2,7250000000000227;-6;6
303;183,0;86,78;11,32;116,898;69,63;63,286;77,708;84,05199999999999;84,05199999999999;-2,7280000000000086;-6;6
304;184,0;86,94;11,32;116,837;69,766;62,649;77,132;84,24900000000002;84,24900000000002;-2,690999999999974;-6;6
305;185,0;87,07;11,32;116,876;69,612;61,591;76,035;84,05599999999998;84,05599999999998;-3,01400000000001;-6;6
306;186,0;87,2;11,32;116,87;69,228;60,232;74,68199999999999;83,678;83,678;-3,5220000000000056;-6;6
307;187,0;87,31;11,32;116,819;68,995;59,041;73,542;83,49600000000001;83,49600000000001;-3,813999999999993;-6;6
308;188,0;87,4;11,32;116,793;69,261;58,511;73,03799999999998;83,78799999999998;83,78799999999998;-3,612000000000023;-6;6
309;189,0;87,48;11,32;116,804;69,615;58,431;72,94699999999997;84,131;84,131;-3,3490000000000038;-6;6
310;190,0;87,54;11,76;116,769;69,565;58,464;73,455;84,556;84,556;-2,984000000000009;-6;6
311;191,0;87,6;11,77;116,765;69,302;58,896;73,90100000000001;84,30700000000002;84,30700000000002;-3,292999999999978;-6;6
312;192,0;87,64;11,77;116,767;69,403;60,097;75,10000000000001;84,40600000000002;84,40600000000002;-3,2339999999999804;-6;6
313;193,0;87,67;11,77;116,741;69,885;61,788;76,81700000000001;84,91399999999999;84,91399999999999;-2,7560000000000144;-6;6
314;194,0;87,69;11,77;116,723;70,422;63,349;78,39599999999999;85,469;85,469;-2,2210000000000036;-6;6
315;195,0;87,72;11,77;116,755;70,488;64,223;79,23800000000001;85,503;85,503;-2,2169999999999987;-6;6
316;196,0;87,74;11,77;116,732;70,271;64,79;79,82800000000002;85,30900000000001;85,30900000000001;-2,430999999999983;-6;6
317;197,0;87,77;11,77;116,704;70,228;65,517;80,583;85,29400000000001;85,29400000000001;-2,475999999999985;-6;6
318;198,0;87,81;11,77;116,755;70,646;66,509;81,52400000000002;85,66100000000002;85,66100000000002;-2,1489999999999867;-6;6
319;199,0;87,87;11,77;116,759;71,078;67,172;82,18299999999999;86,089;86,089;-1,781000000000006;-6;6
320;200,0;87,9;11,78;116,745;71,379;67,385;82,41999999999999;86,41400000000002;86,41400000000002;-1,48599999999999;-6;6
321;205,0;88,58;12,11;116,17;72,073;68,326;84,26599999999999;88,01299999999998;88,01299999999998;-0,5670000000000215;-6;6
322;210,0;89,59;12,11;116,097;72,131;68,319;84,33200000000002;88,144;88,144;-1,445999999999998;-6;6
323;215,0;90,61;12,11;116,02;73,322;67,555;83,64500000000001;89,412;89,412;-1,1979999999999933;-6;6
324;220,0;91,47;12,44;115,924;73,829;66,693;83,20899999999997;90,345;90,345;-1,125;-6;6
325;225,0;92,24;12,89;115,863;73,483;65,646;82,67300000000002;90,51;90,51;-1,7299999999999898;-6;6
326;230,0;93,05;12,89;115,854;73,589;66,24;83,27600000000001;90,625;90,625;-2,424999999999997;-6;6
327;235,0;93,96;12,89;115,846;73,013;66,122;83,16600000000001;90,057;90,057;-3,9029999999999916;-6;6
328;240,0;94,94;13,34;116,32;73,599;67,787;84,80700000000002;90,619;90,619;-4,320999999999998;-6;6
329;245,0;95,9;13,33;115,883;73,696;67,974;85,42099999999999;91,143;91,143;-4,757000000000005;-6;6
330;250,0;96,81;13,33;115,818;74,653;68,438;85,94999999999999;92,16500000000002;92,16500000000002;-4,644999999999982;-6;6
331;255,0;97,66;13,33;115,757;75,367;68,754;86,32700000000001;92,94000000000001;92,94000000000001;-4,719999999999985;-6;6
332;260,0;98,46;13,32;115,692;75,522;68,435;86,06300000000002;93,15;93,15;-5,309999999999988;-6;6
333;265,0;99,22;13,63;115,486;76,067;67,837;85,98099999999998;94,211;94,211;-5,009;-6;6
334;270,0;99,92;13,63;115,557;76,663;67,366;85,43899999999998;94,736;94,736;-5,1839999999999975;-6;6
335;275,0;100,53;13,63;115,544;77,059;68,059;86,145;95,145;95,145;-5,385000000000005;-6;6
336;280,0;101,03;13,95;115,468;77,42;67,676;86,15799999999999;95,90200000000002;95,90200000000002;-5,127999999999986;-6;6
337;285,0;101,4;14,15;115,381;78,073;67,281;86,05000000000001;96,84199999999998;96,84199999999998;-4,558000000000021;-6;6
338;290,0;101,65;14,15;115,316;78,678;68,8;87,63400000000001;97,512;97,512;-4,138000000000005;-6;6
339;295,0;101,76;14,15;115,234;79,065;69,699;88,61500000000002;97,98100000000001;97,98100000000001;-3,7789999999999964;-6;6
340;300,0;101,74;14,35;115,148;79,658;68,189;87,39099999999999;98,86000000000001;98,86000000000001;-2,8799999999999812;-6;6
341;305,0;101,59;14,49;115,133;79,844;67,031;86,388;99,201;99,201;-2,38900000000001;-6;6
342;310,0;101,34;14,49;115,118;79,609;66,178;85,55;98,98099999999998;98,98099999999998;-2,359000000000023;-6;6
343;315,0;100,99;14,49;115,085;79,332;65,528;84,93300000000002;98,737;98,737;-2,253;-6;6
344;320,0;100,55;14,63;115,022;78,262;63,444;83,052;97,86999999999999;97,86999999999999;-2,680000000000007;-6;6
345;325,0;100,05;15,03;114,934;77,662;64,791;84,887;97,75800000000001;97,75800000000001;-2,2919999999999874;-6;6
346;330,0;99,62;15,03;114,819;78,189;65,384;85,59500000000001;98,39999999999999;98,39999999999999;-1,220000000000013;-6;6
347;335,0;99,38;15,03;114,808;78,631;65,071;85,29299999999999;98,853;98,853;-0,527000000000001;-6;6
348;340,0;99,17;15,43;114,845;79,166;64,53;85,11500000000001;99,751;99,751;0,5810000000000031;-6;6
349;345,0;98,93;15,59;114,771;78,626;63,674;84,49300000000001;99,44500000000001;99,44500000000001;0,5150000000000006;-6;6
350;350,0;98,61;15,59;114,763;78,215;63,548;84,375;99,042;99,042;0,43200000000000216;-6;6
351;355,0;98,14;15,59;114,703;77,692;63,935;84,822;98,57900000000001;98,57900000000001;0,43900000000000716;-6;6
352;360,0;97,67;15,75;114,665;77,748;64,638;85,723;98,83299999999998;98,83299999999998;1,1629999999999825;-6;6
353;365,0;97,48;15,84;114,535;78,065;64,059;85,364;99,37;99,37;1,8900000000000006;-6;6
354;370,0;97,49;15,84;114,466;77,899;63,723;85,09700000000002;99,27300000000001;99,27300000000001;1,7830000000000155;-6;6
355;375,0;97,58;15,84;114,371;76,862;63,986;85,455;98,331;98,331;0,7510000000000048;-6;6
356;380,0;97,68;15,92;114,23;74,928;64,544;86,23399999999998;96,618;96,618;-1,0620000000000118;-6;6
357;385,0;97,73;16,16;114,244;74,899;65,129;87,04500000000002;96,815;96,815;-0,9150000000000063;-6;6
358;390,0;97,74;16,16;114,301;74,91;64,434;86,29299999999999;96,76899999999999;96,76899999999999;-0,9710000000000036;-6;6
359;395,0;97,74;16,16;114,206;74,803;64,912;86,866;96,75699999999999;96,75699999999999;-0,9830000000000041;-6;6
360;400,0;97,78;16,39;114,197;73,656;65,997;88,19000000000001;95,849;95,849;-1,9309999999999974;-6;6
361;405,0;97,86;16,6;114,098;73,51;66,177;88,67900000000003;96,012;96,012;-1,847999999999999;-6;6
362;410,0;97,96;16,6;114,085;74,292;65,586;88,10100000000003;96,80700000000002;96,80700000000002;-1,1529999999999774;-6;6
363;415,0;98,07;16,6;114,109;74,773;64,42;86,91100000000003;97,26400000000001;97,26400000000001;-0,8059999999999832;-6;6
364;420,0;98,19;16,81;114,035;75,316;64,536;87,311;98,09100000000001;98,09100000000001;-0,09899999999998954;-6;6
365;425,0;98,33;16,85;114,066;74,688;64,743;87,52699999999999;97,47199999999998;97,47199999999998;-0,8580000000000183;-6;6
366;430,0;98,48;16,85;113,945;73,993;64,482;87,387;96,898;96,898;-1,5820000000000078;-6;6
367;435,0;98,64;16,85;113,82;73,177;63,711;86,74100000000001;96,20700000000002;96,20700000000002;-2,4329999999999785;-6;6
368;440,0;98,8;16,9;113,68;72,842;64,368;87,588;96,06199999999998;96,06199999999998;-2,7380000000000138;-6;6
369;445,0;98,95;16,92;113,837;72,88;64,704;87,787;95,963;95,963;-2,987000000000009;-6;6
370;450,0;99,06;16,92;113,797;72,691;64,056;87,17899999999999;95,81400000000001;95,81400000000001;-3,245999999999995;-6;6
371;455,0;99,11;16,92;113,74;72,788;63,385;86,565;95,96800000000002;95,96800000000002;-3,1419999999999817;-6;6
372;460,0;99,09;16,94;113,62;72,613;62,497;85,81700000000001;95,93299999999999;95,93299999999999;-3,1570000000000107;-6;6
373;465,0;98,99;17,18;113,67;72,738;62,585;86,095;96,24799999999999;96,24799999999999;-2,7420000000000044;-6;6
374;470,0;98,86;17,18;113,699;72,602;62,389;85,87;96,083;96,083;-2,777000000000001;-6;6
375;475,0;98,72;17,18;113,612;72,522;61,184;84,75200000000001;96,09;96,09;-2,6299999999999955;-6;6
376;480,0;98,59;17,42;113,603;72,655;60,162;83,97900000000001;96,47200000000001;96,47200000000001;-2,117999999999995;-6;6
377;485,0;98,49;17,68;113,564;72,218;58,88;82,99600000000001;96,33400000000003;96,33400000000003;-2,1559999999999633;-6;6
378;490,0;98,38;17,68;113,465;71,784;58,428;82,643;95,999;95,999;-2,3810000000000002;-6;6
379;495,0;98,25;17,68;113,406;70,785;58,967;83,24099999999999;95,059;95,059;-3,1910000000000025;-6;6
380;500,0;98,12;17,94;113,376;70,515;59,596;84,16;95,07899999999998;95,07899999999998;-3,0410000000000252;-6;6
381;505,0;97,97;18,88;113,284;70,278;59,022;84,61799999999998;95,87400000000001;95,87400000000001;-2,0959999999999894;-6;6
382;510,0;97,74;18,88;113,266;69,47;58,518;84,13199999999999;95,08399999999999;95,08399999999999;-2,656000000000006;-6;6
383;515,0;97,54;18,88;113,213;68,825;57,324;82,99100000000001;94,49199999999999;94,49199999999999;-3,048000000000016;-6;6
384;520,0;97,55;18,88;113,101;68,413;55,179;80,958;94,19200000000001;94,19200000000001;-3,35799999999999;-6;6
385;525,0;97,43;18,88;113,083;69,386;54,119;79,916;95,18299999999999;95,18299999999999;-2,247000000000014;-6;6
386;530,0;97,24;18,88;113,061;69,736;53,995;79,814;95,55499999999998;95,55499999999998;-1,6850000000000165;-6;6
387;535,0;97,15;18,88;113,142;70,004;54,313;80,05099999999999;95,74200000000002;95,74200000000002;-1,407999999999987;-6;6
388;540,0;97,22;18,88;113,038;69,652;55,085;80,927;95,49399999999999;95,49399999999999;-1,7260000000000133;-6;6
389;545,0;97,36;18,88;113,047;68,546;54,83;80,66299999999998;94,37899999999999;94,37899999999999;-2,9810000000000088;-6;6
390;550,0;97,33;18,88;112,986;68,574;52,606;78,49999999999999;94,468;94,468;-2,8619999999999948;-6;6
391;555,0;96,96;18,88;112,932;68,82;46,106;72,05399999999999;94,76799999999999;94,76799999999999;-2,1920000000000073;-6;6
392;560,0;96,3;18,88;112,833;69,171;39,935;65,982;95,21799999999999;95,21799999999999;-1,0820000000000078;-6;6
393;565,0;95,59;18,88;112,693;68,492;48,777;74,96399999999998;94,67900000000002;94,67900000000002;-0,9109999999999872;-6;6
394;570,0;94,92;18,88;112,636;67,476;53,322;79,566;93,72;93,72;-1,2000000000000028;-6;6
395;575,0;94,26;18,88;112,502;66,585;56,097;82,47500000000001;92,96299999999998;92,96299999999998;-1,2970000000000255;-6;6
396;580,0;93,6;18,88;112,54;66,203;58,039;84,37899999999998;92,54299999999999;92,54299999999999;-1,0570000000000022;-6;6
397;585,0;92,94;18,88;112,406;66,213;60,164;86,63799999999998;92,68699999999998;92,68699999999998;-0,2530000000000143;-6;6
398;590,0;92,33;18,88;112,471;65,708;61,384;87,793;92,11699999999999;92,11699999999999;-0,21300000000000807;-6;6
399;595,0;91,8;18,88;112,333;63,764;62,025;88,572;90,311;90,311;-1,48899999999999;-6;6
400;600,0;91,34;19,82;112,238;59,991;62,053;89,63499999999999;87,57299999999998;89,63499999999999;-1,7050000000000125;-6;6
401;605,0;90,95;20,01;112,263;58,041;61,929;89,676;85,788;89,676;-1,274000000000001;-6;6
402;610,0;91,06;20,01;112,183;58,025;62,105;89,93199999999999;85,852;89,93199999999999;-1,1280000000000143;-6;6
403;615,0;91,81;20,01;112,127;56,358;63,262;91,14500000000001;84,24100000000001;91,14500000000001;-0,664999999999992;-6;6
404;620,0;92,51;20,01;112,218;53,048;64,78;92,572;80,84;92,572;0,06199999999999761;-6;6
405;625,0;93,15;20,01;112,137;52,149;65,662;93,53500000000001;80,022;93,53500000000001;0,3850000000000051;-6;6
406;630,0;93,7;20,01;112,124;54,068;66,248;94,134;81,954;94,134;0,4339999999999975;-6;6
407;635,0;94,15;20,01;111,976;56,402;66,629;94,66300000000003;84,43599999999999;94,66300000000003;0,5130000000000194;-6;6
408;640,0;94,5;20,01;111,909;57,922;67,079;95,18;86,023;95,18;0,6800000000000068;-6;6
409;645,0;94,74;20,01;111,831;58,513;67,365;95,54400000000001;86,69200000000001;95,54400000000001;0,8040000000000163;-6;6
410;650,0;94,88;20,01;111,831;58,341;66,905;95,084;86,52000000000001;95,084;0,20400000000000773;-6;6
411;655,0;94,92;20,01;111,802;59,335;66,022;94,22999999999999;87,543;94,22999999999999;-0,6900000000000119;-6;6
412;660,0;94,88;20,01;111,678;59,958;64,989;93,32100000000001;88,29;93,32100000000001;-1,5589999999999833;-6;6
413;665,0;94,76;20,01;111,586;59,907;64,644;93,06800000000001;88,33099999999999;93,06800000000001;-1,691999999999993;-6;6
414;670,0;94,51;20,01;111,607;59,765;65,208;93,611;88,16799999999999;93,611;-0,8990000000000009;-6;6
415;675,0;94,08;20,01;111,511;59,182;65,741;94,24;87,68100000000003;94,24;0,1599999999999966;-6;6
416;680,0;94,55;20,01;111,364;58,492;66,038;94,68400000000001;87,13799999999999;94,68400000000001;0,13400000000001455;-6;6
417;685,0;95,18;20,01;111,299;57,53;65,759;94,47000000000001;86,241;94,47000000000001;-0,7099999999999937;-6;6
418;690,0;95,8;20,01;111,342;58,516;65,695;94,363;87,184;94,363;-1,4369999999999976;-6;6
419;695,0;96,14;20,01;111,36;59,284;65,921;94,571;87,934;94,571;-1,5690000000000026;-6;6
420;700,0;95,98;20,2;111,382;58,346;66,263;95,081;87,164;95,081;-0,8990000000000009;-6;6
421;705,0;95,85;20,82;111,304;56,963;67,132;96,648;86,47899999999998;96,648;0,7980000000000018;-6;6
422;710,0;95,83;20,82;111,21;54,827;67,591;97,20100000000002;84,43700000000001;97,20100000000002;1,3710000000000235;-6;6
423;715,0;95,69;20,82;111,148;53,427;67,576;97,24799999999999;83,09899999999999;97,24799999999999;1,5579999999999927;-6;6
424;720,0;95,28;20,82;111,0;53,057;67,211;97,031;82,87700000000001;97,031;1,7510000000000048;-6;6
425;725,0;94,8;20,82;110,962;52,276;66,876;96,73400000000001;82,13400000000001;96,73400000000001;1,9340000000000117;-6;6
426;730,0;94,65;20,82;110,795;50,612;66,814;96,839;80,637;96,839;2,188999999999993;-6;6
427;735,0;94,71;20,82;110,754;49,364;66,393;96,459;79,43;96,459;1,7490000000000094;-6;6
428;740,0;94,86;20,82;110,681;50,777;66,365;96,50400000000002;80,916;96,50400000000002;1,6440000000000197;-6;6
429;745,0;95,23;20,82;110,626;51,057;65,999;96,19299999999998;81,251;96,19299999999998;0,9629999999999797;-6;6
430;750,0;95,8;20,82;110,6;51,651;65,919;96,13899999999998;81,87100000000001;96,13899999999998;0,3389999999999844;-6;6
431;755,0;96,4;20,82;110,457;52,769;65,65;96,013;83,132;96,013;-0,38700000000000045;-6;6
432;760,0;96,89;20,82;110,324;54,2;65,321;95,81700000000001;84,696;95,81700000000001;-1,0729999999999933;-6;6
433;765,0;97,24;20,82;110,192;56,194;65,961;96,58900000000003;86,82200000000003;96,58900000000003;-0,6509999999999678;-6;6
434;770,0;97,47;20,82;110,223;57,471;65,972;96,56899999999999;88,06800000000001;96,56899999999999;-0,9010000000000105;-6;6
435;775,0;97,61;20,82;110,243;58,473;66,382;96,959;89,05000000000001;96,959;-0,6509999999999962;-6;6
436;780,0;97,7;20,82;110,135;58,133;65,748;96,43299999999999;88,81800000000001;96,43299999999999;-1,2670000000000101;-6;6
437;785,0;97,73;20,82;110,042;57,185;65,16;95,93799999999999;87,963;95,93799999999999;-1,7920000000000158;-6;6
438;790,0;97,71;20,82;110,098;56,641;64,851;95,57300000000001;87,363;95,57300000000001;-2,1369999999999862;-6;6
439;795,0;97,63;20,82;109,866;55,731;64,095;95,049;86,685;95,049;-2,580999999999989;-6;6
440;800,0;97,49;21,45;109,737;55,53;64,291;96,004;87,24300000000001;96,004;-1,48599999999999;-6;6
441;805,0;97,3;21,98;109,623;54,938;64,161;96,518;87,29499999999999;96,518;-0,7819999999999965;-6;6
442;810,0;97,08;21,98;109,571;55,257;64,357;96,766;87,66600000000001;96,766;-0,31399999999999295;-6;6
443;815,0;96,84;21,98;109,504;56,066;64,323;96,79899999999998;88,542;96,79899999999998;-0,04100000000002524;-6;6
444;820,0;96,61;21,98;109,442;56,717;63,585;96,12300000000002;89,255;96,12300000000002;-0,48699999999998056;-6;6
445;825,0;96,39;21,98;109,471;57,682;62,614;95,123;90,19100000000002;95,123;-1,266999999999996;-6;6
446;830,0;96,19;21,98;109,341;57,766;61,835;94,47400000000002;90,405;94,47400000000002;-1,7159999999999798;-6;6
447;835,0;96,0;21,98;109,31;58,479;62,173;94,843;91,14899999999999;94,843;-1,1569999999999965;-6;6
448;840,0;95,86;21,98;109,166;58,649;61,969;94,783;91,46300000000001;94,783;-1,0769999999999982;-6;6
449;845,0;95,56;21,98;109,174;59,493;61,893;94,699;92,29899999999999;94,699;-0,8610000000000042;-6;6
450;850,0;96,51;21,98;109,055;60,7;61,77;94,69500000000001;93,62499999999999;94,69500000000001;-1,8149999999999977;-6;6
451;855,0;97,5;21,98;109,017;61,366;61,696;94,659;94,329;94,659;-2,840999999999994;-6;6
452;860,0;98,42;21,98;109,094;62,218;62,176;95,062;95,10400000000003;95,10400000000003;-3,315999999999974;-6;6
453;865,0;99,23;21,98;109,019;62,468;61,306;94,26699999999998;95,42900000000002;95,42900000000002;-3,8009999999999877;-6;6
454;870,0;99,9;21,98;108,867;63,351;60,941;94,054;96,464;96,464;-3,436000000000007;-6;6
455;875,0;100,51;21,98;108,87;63,969;60,664;93,77399999999999;97,079;97,079;-3,4310000000000116;-6;6
456;880,0;101,09;21,98;108,703;64,514;60,675;93,95200000000001;97,79100000000001;97,79100000000001;-3,2989999999999924;-6;6
457;885,0;101,61;21,98;108,56;64,99;60,993;94,413;98,41000000000001;98,41000000000001;-3,1999999999999886;-6;6
458;890,0;102,09;21,98;108,446;65,109;60,597;94,13100000000001;98,64299999999999;98,64299999999999;-3,447000000000017;-6;6
459;895,0;102,54;21,98;108,481;65,912;60,642;94,141;99,41100000000002;99,41100000000002;-3,1289999999999907;-6;6
460;900,0;102,95;22,5;108,493;66,719;60,711;94,71800000000002;100,726;100,726;-2,2240000000000038;-6;6
461;905,0;103,31;22,82;108,439;67,653;60,951;95,332;102,03400000000002;102,03400000000002;-1,275999999999982;-6;6
462;910,0;103,6;22,82;107,95;67,684;60,883;95,75300000000001;102,554;102,554;-1,0459999999999923;-6;6
463;915,0;103,84;22,82;108,25;67,949;60,553;95,12299999999999;102,519;102,519;-1,320999999999998;-6;6
464;920,0;104,03;22,82;108,179;67,959;60,011;94,65199999999999;102,6;102,6;-1,4300000000000068;-6;6
465;925,0;104,18;22,82;108,061;67,507;59,475;94,23399999999998;102,26599999999999;102,26599999999999;-1,9140000000000157;-6;6
466;930,0;104,26;22,82;107,956;67,312;59,007;93,87100000000001;102,17600000000002;102,17600000000002;-2,083999999999989;-6;6
467;935,0;104,28;22,82;107,911;67,318;58,681;93,58999999999997;102,22699999999998;102,22699999999998;-2,0530000000000257;-6;6
468;940,0;104,24;22,82;107,765;67,189;58,871;93,92600000000002;102,244;102,244;-1,9959999999999951;-6;6
469;945,0;104,14;22,82;107,712;67,133;58,98;94,088;102,24099999999999;102,24099999999999;-1,8990000000000151;-6;6
470;950,0;104,0;22,82;107,682;66,919;58,81;93,94800000000001;102,05699999999999;102,05699999999999;-1,943000000000012;-6;6
471;955,0;103,84;22,82;107,453;66,74;58,275;93,642;102,107;102,107;-1,733000000000004;-6;6
472;960,0;103,68;22,82;107,567;66,913;58,895;94,14800000000002;102,16600000000003;102,16600000000003;-1,5139999999999816;-6;6
473;965,0;103,53;22,82;107,495;66,647;58,669;93,99399999999997;101,97199999999998;101,97199999999998;-1,5580000000000211;-6;6
474;970,0;103,39;22,82;107,437;66,804;58,564;93,947;102,18700000000001;102,18700000000001;-1,2029999999999887;-6;6
475;975,0;103,27;22,82;107,413;66,212;57,775;93,18200000000002;101,619;101,619;-1,6509999999999962;-6;6
476;980,0;103,17;22,82;107,414;66,079;57,162;92,56800000000001;101,48500000000001;101,48500000000001;-1,684999999999988;-6;6
477;985,0;103,08;22,82;107,27;65,781;56,223;91,77300000000002;101,33100000000002;101,33100000000002;-1,748999999999981;-6;6
478;990,0;102,98;22,82;107,17;65,596;55,635;91,285;101,24600000000001;101,24600000000001;-1,7339999999999947;-6;6
479;995,0;102,86;22,82;107,024;65,429;55,198;90,994;101,225;101,225;-1,6350000000000051;-6;6
480;1000,0;102,69;23,15;72,333;31,594;19,504;90,321;102,411;102,411;-0,27899999999999636;-6;6
